0,1,2,3,4,5,6,7,8
1685289600000.0,4.537,4.538,4.535,4.535,286.0,630.4503,2860.0,1.0
1685289660000.0,4.535,4.535,4.535,4.535,0.0,0.0,0.0,1.0
1685289720000.0,4.537,4.537,4.537,4.537,122.0,268.9002,1220.0,1.0
1685289780000.0,4.537,4.537,4.536,4.536,463.0,1020.5278,4630.0,1.0
1685289840000.0,4.536,4.536,4.536,4.536,0.0,0.0,0.0,1.0
1685289900000.0,4.532,4.532,4.529,4.531,1632.0,3602.4198,16320.0,1.0
1685289960000.0,4.531,4.531,4.531,4.531,0.0,0.0,0.0,1.0
1685290020000.0,4.531,4.531,4.531,4.531,0.0,0.0,0.0,1.0
1685290080000.0,4.529,4.529,4.529,4.529,144.0,317.9509,1440.0,1.0
1685290140000.0,4.53,4.534,4.53,4.532,320.0,705.9411,3200.0,1.0
1685290200000.0,4.532,4.532,4.532,4.532,0.0,0.0,0.0,1.0
1685290260000.0,4.532,4.532,4.532,4.532,0.0,0.0,0.0,1.0
1685290320000.0,4.534,4.534,4.534,4.534,20.0,44.1112,200.0,1.0
1685290380000.0,4.537,4.537,4.535,4.536,595.0,1311.7751,5950.0,1.0
1685290440000.0,4.536,4.536,4.536,4.536,0.0,0.0,0.0,1.0
1685290500000.0,4.536,4.541,4.536,4.541,5088.0,11207.4417,50880.0,1.0
1685290560000.0,4.539,4.541,4.539,4.541,29.0,63.8732,290.0,1.0
1685290620000.0,4.54,4.54,4.536,4.536,738.0,1626.7144,7380.0,1.0
1685290680000.0,4.532,4.532,4.532,4.532,9.0,19.8588,90.0,1.0
1685290740000.0,4.526,4.528,4.526,4.528,2386.0,5270.2888,23860.0,1.0
1685290800000.0,4.524,4.524,4.524,4.524,18.0,39.7878,180.0,1.0
1685290860000.0,4.524,4.524,4.523,4.524,246.0,543.7744,2460.0,1.0
1685290920000.0,4.524,4.524,4.524,4.524,0.0,0.0,0.0,1.0
1685290980000.0,4.528,4.529,4.527,4.527,632.0,1395.6042,6320.0,1.0
1685291040000.0,4.527,4.527,4.527,4.527,0.0,0.0,0.0,1.0
