0,1,2,3,4,5,6,7,8
1685289600000.0,89.37,89.4,89.33,89.4,4500.0,503.6376,45000.0,1.0
1685289660000.0,89.41,89.41,89.38,89.41,1144.0,127.9669,11440.0,1.0
1685289720000.0,89.41,89.41,89.41,89.41,44.0,4.9212,440.0,1.0
1685289780000.0,89.41,89.41,89.41,89.41,97.0,10.8489,970.0,1.0
1685289840000.0,89.41,89.41,89.41,89.41,463.0,51.7839,4630.0,1.0
1685289900000.0,89.41,89.41,89.41,89.41,34.0,3.8027,340.0,1.0
1685289960000.0,89.4,89.4,89.4,89.4,1.0,0.1119,10.0,1.0
1685290020000.0,89.4,89.41,89.4,89.41,2136.0,238.9244,21360.0,1.0
1685290080000.0,89.39,89.39,89.38,89.38,125.0,13.985,1250.0,1.0
1685290140000.0,89.37,89.41,89.37,89.41,2013.0,225.2066,20130.0,1.0
1685290200000.0,89.41,89.41,89.41,89.41,0.0,0.0,0.0,1.0
1685290260000.0,89.39,89.39,89.39,89.39,3077.0,344.2219,30770.0,1.0
1685290320000.0,89.41,89.44,89.41,89.43,2575.0,287.9852,25750.0,1.0
1685290380000.0,89.36,89.36,89.36,89.36,18.0,2.0143,180.0,1.0
1685290440000.0,89.36,89.36,89.36,89.36,0.0,0.0,0.0,1.0
1685290500000.0,89.35,89.42,89.35,89.41,1365.0,152.7677,13650.0,1.0
1685290560000.0,89.42,89.45,89.4,89.45,914.0,102.2103,9140.0,1.0
1685290620000.0,89.46,89.46,89.4,89.4,1436.0,160.5706,14360.0,1.0
1685290680000.0,89.38,89.38,89.25,89.25,2256.0,252.6276,22560.0,1.0
1685290740000.0,89.23,89.23,89.16,89.18,602.0,67.4823,6020.0,1.0
1685290800000.0,89.15,89.15,89.07,89.08,414.0,46.4707,4140.0,1.0
1685290860000.0,89.17,89.17,89.15,89.15,2904.0,325.723,29040.0,1.0
1685290920000.0,89.15,89.15,89.15,89.15,4.0,0.4486,40.0,1.0
1685290980000.0,89.17,89.17,89.15,89.16,34.0,3.8133,340.0,1.0
1685291040000.0,89.17,89.21,89.12,89.21,5767.0,646.7735,57670.0,1.0
1685291100000.0,89.22,89.28,89.22,89.28,3853.0,431.7111,38530.0,1.0
1685291160000.0,89.28,89.28,89.28,89.28,0.0,0.0,0.0,1.0
1685291220000.0,89.31,89.31,89.28,89.3,768.0,86.0174,7680.0,1.0
1685291280000.0,89.3,89.3,89.3,89.3,4769.0,534.0427,47690.0,1.0
1685291340000.0,89.34,89.34,89.34,89.34,820.0,91.7843,8200.0,1.0
1685291400000.0,89.33,89.34,89.33,89.33,2088.0,233.7285,20880.0,1.0
1685291460000.0,89.32,89.32,89.26,89.26,6225.0,697.1938,62250.0,1.0
1685291520000.0,89.25,89.25,89.25,89.25,998.0,111.8207,9980.0,1.0
1685291580000.0,89.26,89.26,89.26,89.26,1270.0,142.2807,12700.0,1.0
1685291640000.0,89.26,89.26,89.26,89.26,0.0,0.0,0.0,1.0
1685291700000.0,89.26,89.26,89.26,89.26,0.0,0.0,0.0,1.0
1685291760000.0,89.28,89.29,89.28,89.29,262.0,29.3444,2620.0,1.0
1685291820000.0,89.31,89.34,89.31,89.34,1493.0,167.1532,14930.0,1.0
1685291880000.0,89.33,89.33,89.33,89.33,240.0,26.8667,2400.0,1.0
1685291940000.0,89.34,89.35,89.34,89.35,831.0,93.0138,8310.0,1.0
1685292000000.0,89.37,89.37,89.37,89.37,8.0,0.8952,80.0,1.0
1685292060000.0,89.37,89.37,89.37,89.37,603.0,67.4723,6030.0,1.0
1685292120000.0,89.35,89.35,89.35,89.35,9.0,1.0073,90.0,1.0
1685292180000.0,89.35,89.35,89.35,89.35,0.0,0.0,0.0,1.0
1685292240000.0,89.3,89.3,89.3,89.3,2.0,0.224,20.0,1.0
1685292300000.0,89.31,89.31,89.31,89.31,1814.0,203.1128,18140.0,1.0
1685292360000.0,89.32,89.33,89.31,89.32,1162.0,130.0996,11620.0,1.0
1685292420000.0,89.31,89.32,89.31,89.32,258.0,28.888,2580.0,1.0
1685292480000.0,89.29,89.29,89.27,89.27,1786.0,200.0432,17860.0,1.0
1685292540000.0,89.27,89.27,89.27,89.27,0.0,0.0,0.0,1.0
1685292600000.0,89.3,89.3,89.3,89.3,1311.0,146.8083,13110.0,1.0
1685292660000.0,89.3,89.4,89.3,89.35,10809.0,1209.5346,108090.0,1.0
1685292720000.0,89.35,89.35,89.35,89.35,0.0,0.0,0.0,1.0
1685292780000.0,89.38,89.38,89.38,89.38,210.0,23.4952,2100.0,1.0
1685292840000.0,89.36,89.36,89.36,89.36,45.0,5.0358,450.0,1.0
1685292900000.0,89.35,89.35,89.33,89.33,2121.0,237.405,21210.0,1.0
1685292960000.0,89.32,89.32,89.31,89.31,44.0,4.9264,440.0,1.0
1685293020000.0,89.31,89.31,89.31,89.31,0.0,0.0,0.0,1.0
1685293080000.0,89.29,89.33,89.29,89.33,4078.0,456.6968,40780.0,1.0
1685293140000.0,89.36,89.4,89.36,89.4,1901.0,212.7053,19010.0,1.0
1685293200000.0,89.39,89.41,89.39,89.41,3.0,0.3355,30.0,1.0
